id,landmark_id
0000215a37942b17,3461
00005baad2e46555,75328
00007d3b7f15b575,14339
00009069e8450638,81969
00009574f46e9fd8,59983
0000b557ddd05437,67300
0000b95ce4944983,97067
0000c20fbe1211e1,5766
0000e1e4efccba54,85801
0000e5fdd18678af,31973
00011c8a4e1b2ea0,69321
000132b0b0db5bc8,29818
0001389e2eb5272a,94646
00013ee025f313ff,42317
0001593e01060541,4437
00016447d1d4a48b,2794
00016c947d9aaf99,9720
000177d70912e009,21467
0001c49b3f75781f,65696
0001e99724ddbf3b,93036
0001f71d919b7ba4,96238
0002451206958ed6,29281
000248fc5040c9d4,78775
00024a774f534744,71943
00025832912f62fa,53410
000266ba4529096a,98347
000269d4e3a35c0a,90323
00026aa8400564dc,33469
0002776d701b0ec8,31809
000291d755b869f6,94242
000293f340142a50,56682
0002b135a3d296bc,78775
0002b50933855361,20039
0002cbb438745aa3,5358
0002f03568b41819,26688
0002f25e5e27cb10,31222
00030c63dbeb0c87,71488
00033d32e4ba1fab,90363
000348ecff139072,78775
0003561646f7d763,78775
000370cc567270e3,34542
000381d8a29188e0,60111
000383f91507c815,49547
00039bd944186a1f,60827
0003e06ea5ac0141,86514
0003e4a85c6d7f28,80412
0003ec1dd0b47842,84161
0003f2ec0028ac42,72888
0003fe1255fca9dd,77252
0003ff90e6a9bcb2,2033
00040642263bfd35,48783
00041b7cefb3f517,5764
00045d620b39baf6,34835
00046c8941dd7688,97078
00047c573405129c,54262
0004bba69201f382,59729
0004d88f9f8bb550,37429
0004de4b94d6099d,57250
0004efe387fbb067,90364
0005026ff0dcac00,76923
000507354bd3c414,7282
000512c259394b0d,31371
000515cc19cd56bd,71854
0005192175d5803a,11553
000523a3a2a8bfc3,45822
00052958b08fb44c,24688
00056a06c43d7a2e,74338
000580d74ce4f462,97785
000589c6a956af71,96553
0005a544b375157b,98102
0005bcf0a2d10e2c,45139
0005d4e2661da719,85554
000625ffc5bdeffa,687
000629790e2c8a71,77032
00063b6fe346be86,52997
00063f30bdf7a3d9,29966
000647b93d078bd1,10937
00066eabe741ab54,2427
0006832205cb9d1d,28685
00069b8df9f67a69,53954
0006b760e4efbdb7,12437
00071244a8b1d9f9,72272
0007241c278a473d,18122
00073310dadf244a,40533
000750bccd09fb71,2812
0007709a644b1d7d,52951
000776d1c19a8d9f,8789
0007ae6b7e9807c1,41878
0007d00ef1f7e709,50442
0007e91a9f0a12dc,58014
0007ebf703afcec8,30237
000851f714964077,35664
000879dcbde60ce1,38587
00087a49c9747cac,32385
00089b3e731fddd2,28735
0008b6ac85e85ba1,71484
0008be7f0763ec89,7977
0008c68b6eddbc20,6938
0008ce35f5a57f8d,7488
0008e0a643d9797c,93499
0008e23af1e44cdf,2539
0008e3b0766cff2e,26370
0008ffc630444490,69215
0009075ba68b8b09,31368
00091d2f500f2668,39490
0009315351cce632,2520
000952662701bc5d,14057
0009705822d4644c,29899
000977f7cd2a313d,27738
000987d7cda5867e,37098
0009ba4889992ab9,98987
0009cca42de98a7c,10293
0009f4754ce7522b,76927
000a190139cbcaf8,40717
000a4c02c9b3af2c,20259
000a4d2312821694,16562
000a61e2729a5f8f,93036
000a895989bb21c2,45033
000a9ca4aa5ecf66,38242
000aa546a85de361,19684
000aab39ea7dbd2f,92939
000ab09365ef293f,52395
000acae22ab250bf,56342
000b01325030f949,30325
000b1c939bc76fba,51156
000b7084a006be3c,5609
000be1c92cc2be3d,30568
000c2f6e9bf718d5,83257
000c3809bee60660,91437
000c47728c81dc0d,74596
000c5c16de252beb,54301
000c5e40bf18918c,82101
000c6aeb61d799ff,27579
000cb012922bdbc1,35645
000cc89a09f32fc6,67799
000cfcb683c7d09d,60836
000d14aee5825bbb,97365
000d179a625c31d5,62357
000d48fcbc9615e6,77405
000d5e1a3656ef22,46700
000d78d35aba4341,35582
000d88d0e4211624,76949
000d8b8ca427edd0,37329
000db84d5e283bbc,35838
000ddc0f0a1ff4c5,4785
000de3c84add0ffd,43751
000ded10aa81024f,65900
000dfc97ae4f1e89,34466
000e548de9ce4a24,33367
000e62ba54e508e2,94268
000e7c47d2a2e827,21351
000ecfdac914a1f3,55408
000efb4fb27daf9c,79217
000f0631a46f17c3,76206
000f20f84f19d340,11041
000f235fb1206a8f,30659
000f45028fc1888a,90169
000f4d2becae699e,81083
000f96a5267223db,89430
000fd1505a2cac89,79395
000ff3e9a5246761,10545
000ffa158ebf6f3c,17219
